symbol,Short Name,Long Name,GICS Sector,GICS Sub-Industry,Headquarters Location
HWM,Howmet Aerospace Inc.,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania"
HPQ,HP Inc.,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
HUBB,Hubbell Inc,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut"
HUM,Humana Inc.,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky"
HBAN,Huntington Bancshares Incorpora,Huntington Bancshares Incorporated,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan"
HII,"Huntington Ingalls Industries, ","Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,"Newport News, Virginia"
IBM,International Business Machines,International Business Machines Corporation,Information Technology,IT Consulting & Other Services,"Armonk, New York"
IEX,IDEX Corporation,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Northbrook, Illinois"
IDXX,"IDEXX Laboratories, Inc.","IDEXX Laboratories, Inc.",Health Care,Health Care Equipment,"Westbrook, Maine"
ITW,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois"
INCY,Incyte Corporation,Incyte Corporation,Health Care,Biotechnology,"Wilmington, Delaware"
IR,Ingersoll Rand Inc.,Ingersoll Rand Inc.,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina"
PODD,Insulet Corporation,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts"
INTC,Intel Corporation,Intel Corporation,Information Technology,Semiconductors,"Santa Clara, California"
IBKR,"Interactive Brokers Group, Inc.","Interactive Brokers Group, Inc.",Financials,Investment Banking & Brokerage,"Greenwich, Connecticut"
ICE,Intercontinental Exchange Inc.,"Intercontinental Exchange, Inc.",Financials,Financial Exchanges & Data,"Atlanta, Georgia"
IFF,International Flavors & Fragran,International Flavors & Fragrances Inc.,Materials,Specialty Chemicals,"New York City, New York"
IP,International Paper Company,International Paper Company,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee"
IPG,"Interpublic Group of Companies,","The Interpublic Group of Companies, Inc.",Communication Services,Advertising,"New York City, New York"
INTU,Intuit Inc.,Intuit Inc.,Information Technology,Application Software,"Mountain View, California"
ISRG,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",Health Care,Health Care Equipment,"Sunnyvale, California"
IVZ,Invesco Ltd,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia"
INVH,Invitation Homes Inc.,Invitation Homes Inc.,Real Estate,Single-Family Residential REITs,"Dallas, Texas"
IQV,"IQVIA Holdings, Inc.",IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,"Durham, North Carolina"
IRM,Iron Mountain Incorporated (Del,Iron Mountain Incorporated,Real Estate,Other Specialized REITs,"Portsmouth, New Hampshire"
JBHT,"J.B. Hunt Transport Services, I","J.B. Hunt Transport Services, Inc.",Industrials,Cargo Ground Transportation,"Lowell, Arkansas"
JBL,Jabil Inc.,Jabil Inc.,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida"
JKHY,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc.",Financials,Transaction & Payment Processing Services,"Monett, Missouri"
J,Jacobs Solutions Inc.,Jacobs Solutions Inc.,Industrials,Construction & Engineering,"Dallas, Texas"
JNJ,Johnson & Johnson,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey"
JCI,Johnson Controls International ,Johnson Controls International plc,Industrials,Building Products,"Cork, Ireland"
JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York City, New York"
K,Kellanova,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
KVUE,Kenvue Inc.,Kenvue Inc.,Consumer Staples,Personal Care Products,"Skillman, New Jersey"
KDP,Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc.,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts"
KEY,KeyCorp,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio"
KEYS,Keysight Technologies Inc.,"Keysight Technologies, Inc.",Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California"
KMB,Kimberly-Clark Corporation,Kimberly-Clark Corporation,Consumer Staples,Household Products,"Irving, Texas"
