Symbol,Short Name,Long Name,Type,Sector,Industry,Country
FUN,Six Flags Entertainment Corpora,Six Flags Entertainment Corporation,share,Consumer Discretionary,Leisure Facilities,"Charlotte, North Carolina"
FWRD,Forward Air Corporation,Forward Air Corporation,share,Industrials,Air Freight & Logistics,"Greeneville, Tennessee"
GBX,"Greenbrier Companies, Inc. (The","The Greenbrier Companies, Inc.",share,Industrials,Construction Machinery & Heavy Transportation Equipment,"Lake Oswego, Oregon"
GDEN,"Golden Entertainment, Inc.","Golden Entertainment, Inc.",share,Consumer Discretionary,Casinos & Gaming,"Enterprise, Nevada"
GDYN,"Grid Dynamics Holdings, Inc.","Grid Dynamics Holdings, Inc.",share,Information Technology,IT Consulting & Other Services,"San Ramon, California"
GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",share,Industrials,Environmental & Facilities Services,"Boca Raton, Florida"
GES,"Guess?, Inc.","Guess?, Inc.",share,Consumer Discretionary,Apparel Retail,"Los Angeles, California"
GFF,Griffon Corporation,Griffon Corporation,share,Industrials,Building Products,"New York City, New York"
GIII,"G-III Apparel Group, LTD.","G-III Apparel Group, Ltd.",share,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York"
GKOS,Glaukos Corporation,Glaukos Corporation,share,Health Care,Health Care Equipment,"San Clemente, California"
GNL,"Global Net Lease, Inc.","Global Net Lease, Inc.",share,Real Estate,Diversified REITs,"New York City, New York"
GNW,Genworth Financial Inc,"Genworth Financial, Inc.",share,Financials,Multi-line Insurance,"Henrico County, Virginia"
GO,Grocery Outlet Holding Corp.,Grocery Outlet Holding Corp.,share,Consumer Staples,Food Retail,"Emeryville, California"
GOGO,Gogo Inc.,Gogo Inc.,share,Communication Services,Wireless Telecommunication Services,"Broomfield, Colorado"
GOLF,Acushnet Holdings Corp.,Acushnet Holdings Corp.,share,Consumer Discretionary,Leisure Products,"Fairhaven, Massachusetts"
GPI,"Group 1 Automotive, Inc.","Group 1 Automotive, Inc.",share,Consumer Discretionary,Automotive Retail,"Houston, Texas"
GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",share,Consumer Discretionary,Homebuilding,"Plano, Texas"
GSHD,"Goosehead Insurance, Inc.","Goosehead Insurance, Inc",share,Financials,Insurance Brokers,"Westlake, Texas"
GTES,Gates Industrial Corporation pl,Gates Industrial Corporation plc,share,Industrials,Industrial Machinery & Supplies & Components,"Denver, Colorado"
GTY,Getty Realty Corporation,Getty Realty Corp.,share,Real Estate,Retail REITs,"New York City, New York"
